model,method,run,group_count,group_size_mean,group_size_std,mc_edges_count,N,sources,N_perc,sources_perc,n_min_trap,n_attractors,update_scheme
n010_193.bnet,random_mc,21,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,22,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,23,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,24,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,25,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,26,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,27,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,28,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_193.bnet,random_mc,29,2,64.0,0.0,3,10,0,7,0,1,1,asynchronous
n010_194.bnet,sd_mc,0,3,21.333333333333332,13.695092389449425,5,10,0,6,0,1,1,asynchronous
n010_194.bnet,null_mc,0,2,32.0,30.0,3,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,0,3,21.333333333333332,13.888444437333106,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,1,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,2,3,21.333333333333332,15.15109090315135,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,3,3,21.333333333333332,13.767917618708921,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,4,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,5,3,21.333333333333332,14.055445761538676,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,6,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,7,3,21.333333333333332,14.267289706021797,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,8,3,21.333333333333332,13.670731102939918,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,9,3,21.333333333333332,14.817407180595247,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,10,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,11,3,21.333333333333332,13.888444437333106,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,12,3,21.333333333333332,13.767917618708921,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,13,3,21.333333333333332,13.888444437333106,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,14,3,21.333333333333332,13.767917618708921,6,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,15,3,21.333333333333332,13.670731102939918,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,16,3,21.333333333333332,14.522013940527977,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,17,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,18,3,21.333333333333332,13.767917618708921,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,19,3,21.333333333333332,13.670731102939918,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,20,3,21.333333333333332,13.888444437333106,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,21,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,22,3,21.333333333333332,13.767917618708921,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,23,3,21.333333333333332,13.670731102939918,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,24,3,21.333333333333332,13.767917618708921,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,25,3,21.333333333333332,13.888444437333106,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,26,3,21.333333333333332,15.15109090315135,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,27,3,21.333333333333332,13.695092389449425,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,28,3,21.333333333333332,14.817407180595247,7,10,0,6,0,1,1,asynchronous
n010_194.bnet,random_mc,29,3,21.333333333333332,14.267289706021797,7,10,0,6,0,1,1,asynchronous
n010_195.bnet,sd_mc,0,5,204.8,290.1864228388365,11,10,0,10,0,2,2,asynchronous
n010_195.bnet,null_mc,0,3,341.3333333333333,481.3040157276434,5,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,0,5,204.8,166.57778963595356,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,1,5,204.8,166.48531466769072,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,2,5,204.8,166.48891855015455,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,3,5,204.8,166.48651597051335,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,4,5,204.8,166.74939280249268,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,5,5,204.8,167.21770241215492,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,6,5,204.8,166.5729870056967,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,7,5,204.8,166.70980774987413,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,8,5,204.8,166.42163320914742,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,9,5,204.8,166.7553897179938,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,10,5,204.8,166.41322062865078,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,11,5,204.8,166.53936471597336,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,12,5,204.8,166.6666133333248,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,13,5,204.8,166.85370837952627,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,14,5,204.8,167.1411379642965,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,15,5,204.8,166.67381318011536,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,16,5,204.8,167.56897087468192,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,17,5,204.8,166.6246080265457,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,18,5,204.8,166.44086036787962,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,19,5,204.8,167.12438481562168,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,20,5,204.8,168.17657387400897,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,21,5,204.8,166.48651597051335,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,22,5,204.8,166.51294243991967,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,23,5,204.8,167.36116634392818,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,24,5,204.8,166.73499932527662,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,25,5,204.8,166.57538833813354,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,26,5,204.8,166.57778963595356,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,27,5,204.8,166.68221260830444,17,10,0,10,0,2,2,asynchronous
