bnet,method,run,rmsd,kld,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_004.bnet,random_mc,19.0,0.3373294589897521,0.8755678678693117,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,20.0,0.3410981467129266,0.8964327231722679,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,21.0,0.33785265200269954,0.8787440338913992,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,22.0,0.3366561837884892,0.8740090076551883,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,23.0,0.3375670502604777,0.8764697533523234,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,24.0,0.3387476366424275,0.8837040480212137,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,25.0,0.3401261939738559,0.8924259083037156,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,26.0,0.3369140749707448,0.8740084817266498,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,27.0,0.34009315845592214,0.8906797608908443,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,28.0,0.33489333742626026,0.8620669004807843,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,29.0,0.34020056799844656,0.8918267860606917,1294,742,12,0,512,4,asynchronous
n010_006.bnet,sd_mc,,0.24872732982984747,0.15527809796223913,1916,36,96,0,1024,2,asynchronous
n010_006.bnet,null_mc,,0.3148547489160148,0.24791873791519808,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,ref,,0.31562920359967755,0.24927254100222923,1916,132,0,0,1024,2,asynchronous
n010_006.bnet,random_mc,0.0,0.3203476661873501,0.2548989589431094,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,1.0,0.31797119066347257,0.251863470056126,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,2.0,0.31631903876202766,0.24976724587866403,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,3.0,0.3183795372677517,0.25238335886530927,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,4.0,0.3168964788159837,0.25049860207843794,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,5.0,0.3142018010183557,0.24709723839649467,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,6.0,0.32019968569576907,0.25470921679350295,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,7.0,0.31338028957168945,0.24606605274747878,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,8.0,0.31013663569016603,0.24201976950098716,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,9.0,0.32109212189443104,0.2558548684708704,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,10.0,0.31642376648945597,0.24989977795023124,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,11.0,0.31301575824677064,0.24560934197276346,1916,130,2,0,1024,2,asynchronous
