model,method,run,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_837.bnet,random_mc,21,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,22,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,23,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,24,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,25,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,26,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,27,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,28,4,0,831,189,1024,4,asynchronous
n010_837.bnet,random_mc,29,4,0,831,189,1024,4,asynchronous
n010_838.bnet,sd_mc,,8,0,8,0,16,2,asynchronous
n010_838.bnet,null_mc,,2,0,8,6,16,2,asynchronous
n010_838.bnet,ref,,0,0,8,8,16,2,asynchronous
n010_838.bnet,random_mc,0,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,1,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,2,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,3,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,4,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,5,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,6,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,7,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,8,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,9,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,10,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,11,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,12,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,13,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,14,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,15,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,16,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,17,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,18,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,19,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,20,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,21,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,22,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,23,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,24,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,25,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,26,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,27,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,28,2,0,8,6,16,2,asynchronous
n010_838.bnet,random_mc,29,2,0,8,6,16,2,asynchronous
n010_840.bnet,sd_mc,,87,0,360,65,512,4,asynchronous
n010_840.bnet,null_mc,,4,0,360,148,512,4,asynchronous
n010_840.bnet,ref,,0,0,360,152,512,4,asynchronous
n010_840.bnet,random_mc,0,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,1,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,2,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,3,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,4,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,5,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,6,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,7,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,8,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,9,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,10,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,11,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,12,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,13,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,14,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,15,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,16,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,17,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,18,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,19,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,20,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,21,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,22,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,23,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,24,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,25,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,26,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,27,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,28,4,0,360,148,512,4,asynchronous
n010_840.bnet,random_mc,29,4,0,360,148,512,4,asynchronous
n010_843.bnet,sd_mc,,128,0,0,0,128,2,asynchronous
n010_843.bnet,null_mc,,5,0,0,123,128,2,asynchronous
n010_843.bnet,ref,,0,0,0,128,128,2,asynchronous
n010_843.bnet,random_mc,0,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,1,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,2,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,3,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,4,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,5,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,6,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,7,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,8,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,9,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,10,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,11,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,12,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,13,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,14,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,15,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,16,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,17,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,18,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,19,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,20,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,21,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,22,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,23,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,24,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,25,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,26,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,27,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,28,5,0,0,123,128,2,asynchronous
n010_843.bnet,random_mc,29,5,0,0,123,128,2,asynchronous
n010_846.bnet,sd_mc,,20,0,466,26,512,4,asynchronous
n010_846.bnet,null_mc,,7,0,466,39,512,4,asynchronous
n010_846.bnet,ref,,0,0,466,46,512,4,asynchronous
n010_846.bnet,random_mc,0,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,1,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,2,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,3,7,0,466,39,512,4,asynchronous
