bnet,method,run,rmsd,n_states,n_attractors,update_scheme
n010_008.bnet,random_mc,2.0,0.21343830814714576,256,3,asynchronous
n010_008.bnet,random_mc,3.0,0.21661485646808956,256,3,asynchronous
n010_008.bnet,random_mc,4.0,0.21381239759109125,256,3,asynchronous
n010_008.bnet,random_mc,5.0,0.21563393112756057,256,3,asynchronous
n010_008.bnet,random_mc,6.0,0.21555448957391649,256,3,asynchronous
n010_008.bnet,random_mc,7.0,0.21524252039221367,256,3,asynchronous
n010_008.bnet,random_mc,8.0,0.21327030908905617,256,3,asynchronous
n010_008.bnet,random_mc,9.0,0.21465152620046524,256,3,asynchronous
n010_008.bnet,random_mc,10.0,0.21477960217184505,256,3,asynchronous
n010_008.bnet,random_mc,11.0,0.21555214815395005,256,3,asynchronous
n010_008.bnet,random_mc,12.0,0.21515311919082142,256,3,asynchronous
n010_008.bnet,random_mc,13.0,0.2150292236321688,256,3,asynchronous
n010_008.bnet,random_mc,14.0,0.21537331237092652,256,3,asynchronous
n010_008.bnet,random_mc,15.0,0.21372320811775314,256,3,asynchronous
n010_008.bnet,random_mc,16.0,0.2155943856461591,256,3,asynchronous
n010_008.bnet,random_mc,17.0,0.21556020808415466,256,3,asynchronous
n010_008.bnet,random_mc,18.0,0.2152982281763381,256,3,asynchronous
n010_008.bnet,random_mc,19.0,0.2158706369042957,256,3,asynchronous
n010_008.bnet,random_mc,20.0,0.21577973341483664,256,3,asynchronous
n010_008.bnet,random_mc,21.0,0.21557582350311053,256,3,asynchronous
n010_008.bnet,random_mc,22.0,0.21484988636102384,256,3,asynchronous
n010_008.bnet,random_mc,23.0,0.2173681327000292,256,3,asynchronous
n010_008.bnet,random_mc,24.0,0.21572880445094952,256,3,asynchronous
n010_008.bnet,random_mc,25.0,0.2141252231170821,256,3,asynchronous
n010_008.bnet,random_mc,26.0,0.21337966579364664,256,3,asynchronous
n010_008.bnet,random_mc,27.0,0.2152510716695272,256,3,asynchronous
n010_008.bnet,random_mc,28.0,0.2160918684778165,256,3,asynchronous
n010_008.bnet,random_mc,29.0,0.21466958630839209,256,3,asynchronous
n010_009.bnet,sd_mc,,0.2515701821621405,256,2,asynchronous
n010_009.bnet,null_mc,,0.3120888984268606,256,2,asynchronous
n010_009.bnet,ref,,0.3361977093439348,256,2,asynchronous
n010_009.bnet,random_mc,0.0,0.31170907196873465,256,2,asynchronous
n010_009.bnet,random_mc,1.0,0.31221391318662844,256,2,asynchronous
n010_009.bnet,random_mc,2.0,0.3120877320426517,256,2,asynchronous
n010_009.bnet,random_mc,3.0,0.3121102554457943,256,2,asynchronous
n010_009.bnet,random_mc,4.0,0.312039201450048,256,2,asynchronous
n010_009.bnet,random_mc,5.0,0.31158838594083815,256,2,asynchronous
n010_009.bnet,random_mc,6.0,0.31249174435296084,256,2,asynchronous
n010_009.bnet,random_mc,7.0,0.3121617674453039,256,2,asynchronous
n010_009.bnet,random_mc,8.0,0.3123787982444195,256,2,asynchronous
n010_009.bnet,random_mc,9.0,0.3121036828763176,256,2,asynchronous
n010_009.bnet,random_mc,10.0,0.3117382168828842,256,2,asynchronous
n010_009.bnet,random_mc,11.0,0.31208673332083736,256,2,asynchronous
n010_009.bnet,random_mc,12.0,0.3120486845728532,256,2,asynchronous
n010_009.bnet,random_mc,13.0,0.31197167576339624,256,2,asynchronous
n010_009.bnet,random_mc,14.0,0.3120986429168779,256,2,asynchronous
n010_009.bnet,random_mc,15.0,0.3111197764802161,256,2,asynchronous
n010_009.bnet,random_mc,16.0,0.3120913146514489,256,2,asynchronous
n010_009.bnet,random_mc,17.0,0.312248480371772,256,2,asynchronous
n010_009.bnet,random_mc,18.0,0.3120795465307087,256,2,asynchronous
n010_009.bnet,random_mc,19.0,0.3121258931024892,256,2,asynchronous
n010_009.bnet,random_mc,20.0,0.3117377426362347,256,2,asynchronous
n010_009.bnet,random_mc,21.0,0.31207912369330243,256,2,asynchronous
n010_009.bnet,random_mc,22.0,0.31230953119975546,256,2,asynchronous
n010_009.bnet,random_mc,23.0,0.3120628396441218,256,2,asynchronous
n010_009.bnet,random_mc,24.0,0.31256001003965567,256,2,asynchronous
n010_009.bnet,random_mc,25.0,0.31216065165359735,256,2,asynchronous
n010_009.bnet,random_mc,26.0,0.31259761717218243,256,2,asynchronous
n010_009.bnet,random_mc,27.0,0.31190562629479623,256,2,asynchronous
n010_009.bnet,random_mc,28.0,0.3119496157080563,256,2,asynchronous
n010_009.bnet,random_mc,29.0,0.31241990079254855,256,2,asynchronous
n010_011.bnet,sd_mc,,0.05011519695566268,512,3,asynchronous
n010_011.bnet,null_mc,,0.2872072308354224,512,3,asynchronous
n010_011.bnet,ref,,0.3014875328591959,512,3,asynchronous
n010_011.bnet,random_mc,0.0,0.2848354292718597,512,3,asynchronous
n010_011.bnet,random_mc,1.0,0.28650263133719023,512,3,asynchronous
n010_011.bnet,random_mc,2.0,0.2895514522296541,512,3,asynchronous
n010_011.bnet,random_mc,3.0,0.2852740134037031,512,3,asynchronous
n010_011.bnet,random_mc,4.0,0.28559228673335396,512,3,asynchronous
n010_011.bnet,random_mc,5.0,0.28803090210116716,512,3,asynchronous
n010_011.bnet,random_mc,6.0,0.2876226416972053,512,3,asynchronous
n010_011.bnet,random_mc,7.0,0.28386377583074385,512,3,asynchronous
n010_011.bnet,random_mc,8.0,0.2835089385986506,512,3,asynchronous
n010_011.bnet,random_mc,9.0,0.2884090389626264,512,3,asynchronous
n010_011.bnet,random_mc,10.0,0.2886702272525569,512,3,asynchronous
n010_011.bnet,random_mc,11.0,0.28689689992517486,512,3,asynchronous
n010_011.bnet,random_mc,12.0,0.28684973209887143,512,3,asynchronous
n010_011.bnet,random_mc,13.0,0.28661691761894786,512,3,asynchronous
n010_011.bnet,random_mc,14.0,0.2848553850145744,512,3,asynchronous
n010_011.bnet,random_mc,15.0,0.2860609900516274,512,3,asynchronous
n010_011.bnet,random_mc,16.0,0.2844855901477488,512,3,asynchronous
n010_011.bnet,random_mc,17.0,0.286782399914033,512,3,asynchronous
