filename,N,sources,N_perc,sources_perc,min_trap_count,attractor_count,sd_group_count,sd_group_size_mean,sd_group_size_std,sd_mc_edges_count,null_group_count,null_group_size_mean,null_group_size_std,null_mc_edges_count,random_group_count_mean,random_group_size_mean,random_group_size_stds_mean,random_mc_edges_count_mean,random_mc_edges_count_std
n010_063.bnet,10,0,5,0,2,2,5,6.4,8.138795979750322,11,3,10.666666666666666,13.67073110293992,5,5.0,6.399999999999999,4.79658686793828,16.19,0.7575618786607466
n010_064.bnet,10,0,6,0,1,1,1,64.0,0.0,1,1,64.0,0.0,1,1.0,64.0,0.0,1.0,0.0
n010_065.bnet,10,0,4,0,1,1,1,16.0,0.0,1,1,16.0,0.0,1,1.0,16.0,0.0,1.0,0.0
n010_066.bnet,10,0,10,0,1,1,13,78.76923076923077,36.3363641679619,42,2,512.0,508.0,3,13.0,78.76923076923075,23.14502593963634,156.25,0.7921489758877429
n010_067.bnet,10,0,4,0,1,1,3,5.333333333333333,6.128258770283412,6,2,8.0,7.0,3,3.0,5.333333333333335,3.4307647456541237,6.87,0.33630343441600474
n010_068.bnet,10,0,3,0,1,1,3,2.6666666666666665,2.3570226039551585,6,2,4.0,3.0,3,3.0,2.6666666666666674,1.4964112756274657,6.62,0.48538644398046393
n010_069.bnet,10,0,5,0,2,2,8,4.0,6.123724356957945,24,3,10.666666666666666,13.67073110293992,5,8.0,4.0,2.3946284689813653,38.36,2.5749563103089725
n010_070.bnet,10,0,1,1,2,2,2,1.0,0.0,2,2,1.0,0.0,2,2.0,1.0,0.0,2.0,0.0
n010_071.bnet,10,0,5,0,2,2,6,5.333333333333333,6.128258770283412,13,3,10.666666666666666,13.67073110293992,5,6.0,5.333333333333335,3.5687626288643135,23.07,0.9513674369033239
n010_072.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_073.bnet,10,0,8,0,1,1,3,85.33333333333333,71.13523896229086,5,2,128.0,127.0,3,3.0,85.33333333333336,60.013637684531666,6.98,0.13999999999999999
n010_074.bnet,10,0,10,0,3,3,10,102.4,248.28781685777494,31,4,256.0,429.00407923468515,7,10.0,102.39999999999998,62.33699134483348,70.93,0.8031811750782012
n010_075.bnet,10,0,5,0,1,1,1,32.0,0.0,1,1,32.0,0.0,1,1.0,32.0,0.0,1.0,0.0
n010_076.bnet,10,0,4,0,3,3,10,1.6,0.9165151389911681,25,4,4.0,5.196152422706632,7,10.0,1.5999999999999996,0.8561167761185037,31.6,2.004993765576342
n010_077.bnet,10,0,8,1,2,2,5,51.2,51.38248728895868,9,3,85.33333333333333,119.26534376013103,5,5.0,51.19999999999999,41.362830400895376,16.73,0.4439594576084623
n010_078.bnet,10,0,9,0,1,1,3,170.66666666666666,158.6050300449376,6,2,256.0,252.0,3,3.0,170.6666666666667,118.18336687640367,7.0,0.0
n010_079.bnet,10,0,3,0,1,1,1,8.0,0.0,1,1,8.0,0.0,1,1.0,8.0,0.0,1.0,0.0
n010_080.bnet,10,0,9,0,3,3,17,30.11764705882353,52.04396597554482,56,4,128.0,215.94791038581502,7,17.0,30.117647058823525,13.534230705045946,223.15,1.0988630487917954
n010_081.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_082.bnet,10,0,10,0,1,1,3,341.3333333333333,219.1214782311908,6,2,512.0,480.0,3,3.0,341.3333333333334,219.07406924747326,7.0,0.0
n010_083.bnet,10,0,6,0,3,3,6,10.666666666666666,16.87865186822955,14,4,16.0,25.98076211353316,7,6.0,10.66666666666667,9.95172031865335,20.12,0.7652450587883597
n010_084.bnet,10,0,9,0,1,1,3,170.66666666666666,131.0224747472314,5,2,256.0,255.0,3,3.0,170.6666666666667,120.28562223301441,6.99,0.09949874371066199
n010_085.bnet,10,0,7,1,4,4,10,12.8,18.38912722235615,21,5,25.6,49.2,9,10.0,12.799999999999997,10.169238918459143,54.13,1.5208878985645193
n010_086.bnet,10,0,6,0,1,1,3,21.333333333333332,19.70335560817553,6,2,32.0,31.0,3,3.0,21.33333333333334,14.669274441207346,6.98,0.13999999999999999
n010_087.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_088.bnet,10,0,6,0,1,1,1,64.0,0.0,1,1,64.0,0.0,1,1.0,64.0,0.0,1.0,0.0
n010_089.bnet,10,0,10,0,1,1,1,1024.0,0.0,1,1,1024.0,0.0,1,1.0,1024.0,0.0,1.0,0.0
n010_090.bnet,10,0,7,0,1,1,4,32.0,37.90118731649445,10,2,64.0,63.0,3,4.0,32.0,18.45421493626921,12.78,0.41424630354415964
n010_091.bnet,10,0,10,0,2,2,68,15.058823529411764,26.683263289792492,293,3,341.3333333333333,481.3040157276434,5,68.0,15.058823529411763,4.561171249753391,2749.52,24.11160716335599
n010_092.bnet,10,0,10,0,1,1,3,341.3333333333333,240.65235414505207,6,2,512.0,511.0,3,3.0,341.3333333333334,240.97476841633107,7.0,0.0
n010_093.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_094.bnet,10,0,10,0,2,2,10,102.4,242.84159446025717,41,3,341.3333333333333,480.5970823419089,5,10.0,102.39999999999998,51.32588856192141,78.75,1.2196310917650468
n010_095.bnet,10,0,3,0,1,1,3,2.6666666666666665,2.3570226039551585,6,2,4.0,3.0,3,3.0,2.6666666666666674,1.4964112756274657,6.67,0.5109794516416487
n010_096.bnet,10,0,6,0,1,1,6,10.666666666666666,9.428090415820634,15,2,32.0,28.0,3,6.0,10.66666666666667,4.041904874761868,30.74,0.5407402333838309
n010_097.bnet,10,0,3,1,2,2,3,2.6666666666666665,1.247219128924647,4,3,2.6666666666666665,1.247219128924647,4,3.0,2.6666666666666674,1.2472191289246466,4.0,0.0
n010_098.bnet,10,0,5,0,2,2,5,6.4,7.28285658241325,11,3,10.666666666666666,12.970050972229147,5,5.0,6.399999999999999,4.433471230889681,16.49,0.6081940479813988
n010_099.bnet,10,0,10,0,2,2,6,170.66666666666666,296.88082158034763,17,3,341.3333333333333,436.78319055975084,5,6.0,170.6666666666667,99.60908632733862,25.98,0.13999999999999999
